id,caiso_qpos,name,fuel_tag,class,nameplate,rho,rho_hat,cost_ann,is_intermittent,county
274,2146,WATER ROCK SOLAR 2,Battery+Solar,hybrid_solar,500.0,0.6,0.4,160000.0,true,NYE
275,2147,KAWICH,Solar+Battery,hybrid_solar,350.0,0.6,0.4,160000.0,true,CLARK
276,2148,MOSEY,Battery+Solar,hybrid_solar,500.0,0.6,0.4,160000.0,true,CLARK
277,2149,SUNBAKED SOLAR,Battery+Solar,hybrid_solar,500.0,0.6,0.4,160000.0,true,INYO
278,2150,LARREA SOLAR,Solar+Battery,hybrid_solar,300.0,0.6,0.4,160000.0,true,CLARK
279,2154,REMY,Battery+Solar,hybrid_solar,300.0,0.6,0.4,160000.0,true,YUMA
280,2157,GNARLY OSAGE,Battery,storage,300.0,0.95,0.55,135000.0,true,SAN DIEGO
281,2161,ALISA SOLAR ENERGY COMPLEX,Solar+Battery,hybrid_solar,200.0,0.6,0.4,160000.0,true,YUMA
282,2166,UMBRIEL,Battery+Solar,hybrid_solar,1150.0,0.6,0.4,160000.0,true,IMPERIAL
283,2173,DESERT JEWEL STORAGE,Battery,storage,200.0,0.95,0.55,135000.0,true,SAN DIEGO
284,2177,BOULDER BRUSH HYBRID,Wind Turbine+Battery,hybrid_wind,400.0,0.5,0.35,175000.0,true,SAN DIEGO
285,2178,BELL BLUFF STORAGE,Battery,storage,300.0,0.95,0.55,135000.0,true,SAN DIEGO
286,2180,CARGO STORAGE,Battery,storage,300.0,0.95,0.55,135000.0,true,SAN DIEGO
287,2185,GATEWAY ENERGY STORAGE 2,Battery,storage,250.0,0.95,0.55,135000.0,true,SAN DIEGO
