id,caiso_qpos,name,fuel_tag,class,nameplate,rho,rho_hat,cost_ann,is_intermittent,county
128,1660,CIMARRON WIND,Wind Turbine,wind,300.0,0.3,0.25,150000.0,true,TECATE
129,1663,HOODINI,Battery+Solar,hybrid_solar,450.0,0.6,0.4,160000.0,true,YUMA
130,1665,KINGSLEY SOLAR FARM,Battery+Solar,hybrid_solar,360.0,0.6,0.4,160000.0,true,IMPERIAL
131,1667,SUNRISE BUTTE,Solar+Battery,hybrid_solar,150.0,0.6,0.4,160000.0,true,IMPERIAL
132,1678,HARQUAHALA SUNRISE,Battery+Solar,hybrid_solar,300.0,0.6,0.4,160000.0,true,MARICOPA
133,1687,CONAWAY HYBRID POWER PLANT,Battery+Solar,hybrid_solar,80.0,0.6,0.4,160000.0,true,YOLO
134,1690,DENALI ENERGY STORAGE,Battery,storage,101.2,0.95,0.55,135000.0,true,SAN JOAQUIN
135,1702,POTENTIA-VIRIDI,Wind Turbine+Solar+Battery,hybrid_solar,400.0,0.6,0.4,160000.0,true,SAN JOAQUIN
136,1709,ROSEMARY,Solar+Battery,hybrid_solar,35.0,0.6,0.4,160000.0,true,FRESNO
137,1718,GONZAGA HYBRID,Battery+Wind Turbine,hybrid_wind,103.65,0.5,0.35,175000.0,true,MERCED
138,1728,ZETA,Battery+Solar,hybrid_solar,75.0,0.6,0.4,160000.0,true,MERCED
139,1736,HAWKINS SOLAR HYBRID,Solar+Battery,hybrid_solar,250.0,0.6,0.4,160000.0,true,KERN
140,1740,PUFF HYBRID SOLAR,Battery+Solar,hybrid_solar,100.0,0.6,0.4,160000.0,true,KERN
141,1744,CRYSTAL FLATS ,Solar+Battery,hybrid_solar,100.0,0.6,0.4,160000.0,true,KERN
142,1745,SUNRISE POWER IMPROVEMENT,Natural Gas,gas,35.0,0.95,0.0,120000.0,false,KERN
143,1750,WINDWALKER OFFSHORE,Wind Turbine,wind,1000.0,0.3,0.25,150000.0,true,SAN LUIS OBISPO
144,1751,WINSTON HYBRID PV AND BESS,Battery+Solar,hybrid_solar,200.0,0.6,0.4,160000.0,true,KERN
145,1757,COBALT,Battery+Solar,hybrid_solar,250.0,0.6,0.4,160000.0,true,RIVERSIDE
146,1758,DESERT SANDS,Battery,storage,300.0,0.95,0.55,135000.0,true,RIVERSIDE
147,1761,GRACE ENERGY CENTER,Solar+Battery,hybrid_solar,500.0,0.6,0.4,160000.0,true,RIVERSIDE
148,1764,SAPPHIRE SOLAR,Battery+Solar,hybrid_solar,117.0,0.6,0.4,160000.0,true,RIVERSIDE
149,1766,COMMERCE ENERGY STORAGE 2,Battery,storage,250.0,0.95,0.55,135000.0,true,LOS ANGELES
150,1768,ROADHOUSE STORAGE,Battery,storage,300.0,0.95,0.55,135000.0,true,SAN BERNARDINO
151,1774,OVERNIGHT SOLAR,Solar+Battery,hybrid_solar,150.0,0.6,0.4,160000.0,true,SAN BERNARDINO
152,1779,BELLEFIELD 3 SOLAR FARM,Battery+Solar,hybrid_solar,150.0,0.6,0.4,160000.0,true,KERN
153,1782,WILLOW ROCK ENERGY STORAGE,Battery+Other,storage,500.0,0.95,0.55,135000.0,true,KERN
154,1783,SHOALS ENERGY STORAGE,Battery,storage,400.0,0.95,0.55,135000.0,true,VENTURA
155,1784,KEYHOLE WIND,Wind Turbine,wind,100.0,0.3,0.25,150000.0,true,KERN
156,1789,REXFORD 2 SOLAR FARM,Battery+Solar,hybrid_solar,200.0,0.6,0.4,160000.0,true,TULARE
157,1790,SANBORN HYBRID 4,Battery+Solar,hybrid_solar,100.0,0.6,0.4,160000.0,true,KERN
158,1791,SANBORN 5 HYBRID,Solar,solar,550.0,0.13,0.13,115000.0,true,KERN
159,1792,SEQUOIA,Battery+Solar,hybrid_solar,200.0,0.6,0.4,160000.0,true,TULARE
160,1795,ARIDA 3 SOLAR FARM,Battery+Solar,hybrid_solar,450.0,0.6,0.4,160000.0,true,CLARK
161,1796,DELAMAR ENERGY STORAGE,Battery,storage,250.0,0.95,0.55,135000.0,true,CLARK
162,1798,CALVADA SPRINGS SOLAR,Solar+Battery,hybrid_solar,250.0,0.6,0.4,160000.0,true,INYO
163,1799,ROUGH HAT 2,Battery+Solar,hybrid_solar,200.0,0.6,0.4,160000.0,true,CLARK
164,1800,PURPLE SAGE ENERGY CENTER,Battery+Solar,hybrid_solar,400.0,0.6,0.4,160000.0,true,CLARK
165,1801,WATER ROCK SOLAR 1,Solar+Battery,hybrid_solar,200.0,0.6,0.4,160000.0,true,NYE
166,1806,CAPTIVA ENERGY STORAGE,Battery,storage,250.0,0.95,0.55,135000.0,true,ORANGE
167,1810,EAST FIELD ENERGY STORAGE,Battery,storage,300.01,0.95,0.55,135000.0,true,SAN DIEGO
168,1812,DATELAND ENERGY COMPLEX,Solar+Battery,hybrid_solar,350.0,0.6,0.4,160000.0,true,YUMA
169,1824,VIENTO FRONTERIZO,Wind Turbine,wind,972.82,0.3,0.25,150000.0,true,MUNICIPALITY OF TECATE
170,1842,TOLENAS,Battery,storage,400.0,0.95,0.55,135000.0,true,SOLANO
