scenario,profit
s0338,156144.63157765413
s0339,164523.04016339505
s0340,174835.64426609888
s0341,143520.94428623616
s0342,169614.29590667857
s0343,173626.5657099823
s0344,161363.2370456381
s0345,183465.10101065846
s0346,126591.76761443973
s0347,171506.2984138148
s0348,216888.32868421313
s0349,176982.82477745897
s0350,183186.38166169735
s0351,141210.63096858858
s0352,149320.56068219303
s0353,178728.63360949515
s0354,148799.34772915943
s0355,176251.94713018427
s0356,179620.5122458206
s0357,188058.78685237313
s0358,141890.97554428552
s0359,188249.87283727687
s0360,179127.37250370736
s0361,181056.26584763403
s0362,167344.66965443458
s0363,164998.78663247504
s0364,223172.48682528755
s0365,174194.95275598642
s0366,179781.3020293485
s0367,180643.25309531498
s0368,149506.6492741606
s0369,170014.04959797495
s0370,158073.81940555442
s0371,167098.09055150044
s0372,151363.4642294862
s0373,201620.23729759894
s0374,168296.50209301818
s0375,162808.7462679435
s0376,159230.0063650482
s0377,167308.29150145766
s0378,162932.68239355355
s0379,196220.2333727374
s0380,167684.97086576495
s0381,179035.15715317088
s0382,112899.59789785682
s0383,185769.14610489213
s0384,130182.899250277
s0385,188252.8506264295
s0386,172986.71383294978
s0387,172176.13234149164
s0388,179820.7917797267
s0389,166130.35650050046
s0390,157485.7719571364
s0391,157930.78748489672
s0392,139765.41106500596
s0393,162918.80309945944
s0394,136960.48859844054
s0395,174278.04331979516
s0396,165904.88770598592
s0397,172631.66580991755
s0398,161984.9924201172
s0399,160880.9879462598
s0400,163993.82571626187
s0401,168529.56721669054
s0402,179450.6200765318
s0403,172607.91054313016
s0404,164997.2888990402
s0405,162690.7380226321
s0406,161303.7180861375
s0407,178581.49208000855
s0408,192024.76251909096
s0409,191464.04632938452
s0410,176784.75918896994
s0411,157200.59532768908
s0412,158430.6109469191
s0413,170476.60430891984
s0414,172722.55531878537
s0415,178775.36303167572
s0416,168910.90742648777
s0417,183255.84390180215
s0418,156327.1979151683
s0419,176544.20907514283
s0420,173662.25498129084
s0421,147975.39433417973
s0422,179293.39679029613
s0423,180424.19396248992
s0424,167822.09470110902
s0425,179503.58961443815
s0426,212851.18837285147
s0427,171178.7013408119
s0428,147793.2204297535
s0429,188300.8431893322
s0430,156621.5332882925
s0431,167267.84376513635
s0432,145542.90594085626
s0433,178844.0419803846
s0434,172024.25466527147
s0435,177162.72689311972
s0436,186452.41545049974
s0437,190089.760923385
s0438,181043.40518669438
s0439,145177.68960471285
s0440,197244.99893296702
s0441,162861.81795068205
s0442,207657.97507841035
s0443,198661.71266292842
s0444,167395.0750961612
s0445,172881.15740789118
s0446,182948.10950739938
s0447,168783.00789340306
s0448,164857.56646400283
s0449,156617.0230263144
s0450,177674.89688928722
s0451,173326.36469173396
s0452,163674.71994516806
s0453,156563.06665959512
s0454,182832.9860070493
s0455,169117.0483227144
s0456,161791.2552758507
s0457,155018.26716085715
s0458,164455.84962981683
s0459,161890.73838004688
s0460,171431.53623364514
s0461,166135.36006890598
s0462,174424.95319274184
s0463,159216.78032486798
s0464,158413.4375222692
s0465,172142.21296433744
s0466,162558.0147568805
s0467,152742.2430095963
s0468,147783.43250296373
s0469,156842.84356075953
s0470,184387.86204327544
s0471,168532.341857009
s0472,169817.42903656283
s0473,167850.26335345526
s0474,169164.44734328665
s0475,191345.4926134208
s0476,148473.6233340687
s0477,162288.58215065522
s0478,156824.78452725944
s0479,134720.07957829288
s0480,158270.00294175188
s0481,181750.40690518703
s0482,176061.07632358573
s0483,189042.05786902204
s0484,173131.9105408757
s0485,167346.28968770383
s0486,146644.922988662
s0487,134098.41468119711
s0488,166846.4578885124
s0489,158275.057818179
s0490,173212.70287697372
s0491,201874.01897589033
s0492,144710.2642003143
s0493,143219.58223601762
s0494,159481.02120431876
s0495,152030.22160675508
s0496,193403.08885145892
s0497,170236.30010184008
s0498,126617.7253207538
s0499,165892.82186964506
s0500,150177.81463750007
s0501,151020.4798143011
s0502,154736.68746698505
s0503,199306.48288572373
s0504,193853.41165761402
s0505,182130.71837848364
s0506,180693.0192973138
s0507,165696.29462220226
s0508,164842.55786055373
s0509,153830.39303933212
s0510,175386.65095086434
s0511,180085.6570244966
s0512,178240.1722884167
s0513,178487.52376596784
s0514,170872.17379115304
s0515,140945.3133132717
s0516,170995.11566786718
s0517,181578.9704711737
s0518,134178.8337658571
s0519,197333.55629389037
s0520,181318.17103607964
s0521,185931.36207268827
s0522,174846.45232623362
s0523,159709.9815384907
s0524,178612.47345581805
s0525,170626.93103896917
s0526,184659.69939130716
s0527,172895.85052023298
s0528,177286.68327140107
s0529,173199.30829142628
s0530,184360.89614097326
s0531,153348.46837636642
s0532,175476.81334830477
s0533,166890.00998756662
s0534,165450.33094731817
s0535,162030.94100973193
s0536,220478.18275773377
s0537,175120.9594506996
s0538,184176.07976501866
s0539,143732.69818564417
s0540,195039.28068218072
s0541,134574.26179467267
s0542,181927.51597258757
s0543,155698.1576728203
s0544,164440.012638774
s0545,161569.13036763118
s0546,186222.83968429145
s0547,194282.02986575282
s0548,174358.0167560621
s0549,171238.13417981545
s0550,135801.51369987117
s0551,172079.40705726482
s0552,175759.4783958255
s0553,174605.43213804916
s0554,169991.1209982333
s0555,163626.3702407177
s0556,153789.39572966855
s0557,171771.8528445629
s0558,174261.18394808954
s0559,172850.00306428783
s0560,167167.21685656326
s0561,166777.40067397617
s0562,174404.8830817395
s0563,157995.53220917255
s0564,132871.5642724353
s0565,158745.20024027445
s0566,160441.6127820832
s0567,167790.33717924487
s0568,144353.3058410188
s0569,206904.52987694513
s0570,163861.88803225625
s0571,175693.69825101193
s0572,181040.5868418486
s0573,186050.0608238447
s0574,159534.60851300304
s0575,199953.67672597544
s0576,165474.75018074355
s0577,153107.53229481654
s0578,160142.1370411739
s0579,167013.38748350076
s0580,166498.7407494426
s0581,180659.5159330775
s0582,179076.6303159695
s0583,142173.8011440554
s0584,155901.54097897134
s0585,198073.16749369615
s0586,177100.22112671248
s0587,191090.7824795771
s0588,196430.88678695876
s0589,160865.16105070483
s0590,165721.7620323894
s0591,170084.15896375637
s0592,165632.04368307465
s0593,139622.71294153354
s0594,156211.18017330233
s0595,176013.91685256374
s0596,181307.6895208048
s0597,158422.79259217242
s0598,189921.5865290354
s0599,148714.55145192982
s0600,167042.7700193204
s0601,152026.59732258023
s0602,178995.9827617982
s0603,160032.52080204614
s0604,177244.33047938085
s0605,173386.18870811237
s0606,221565.59625095877
s0607,160276.78881255494
s0608,177714.24419017756
s0609,165511.7150983434
s0610,177462.2478677382
s0611,152428.51343737787
s0612,162329.43674935208
s0613,178001.00831795705
s0614,170879.02537637475
s0615,170318.56534735594
s0616,176632.75049992494
s0617,161106.83861813447
s0618,152497.6972838962
s0619,154827.51403643782
s0620,166867.41692575545
s0621,173040.3499382121
s0622,167823.40624526684
s0623,179561.57919783096
s0624,168214.36004180848
s0625,173311.08492573263
s0626,140657.2795215789
s0627,152699.33593695608
s0628,177670.30986625992
s0629,168395.00013769392
s0630,176214.34335650015
s0631,144902.34112740314
s0632,171280.56068004307
s0633,162460.99241671816
s0634,153580.21400876323
s0635,184945.65707367213
s0636,154340.48556871185
s0637,145920.18429715539
s0638,170418.18411895348
s0639,163664.58657798637
s0640,157324.333290211
s0641,167043.29332357307
s0642,157255.53900936292
s0643,148042.4480532939
s0644,180708.90981570707
s0645,147642.48671931677
s0646,182380.92481038754
s0647,175386.2183052833
