datetime_utc,lmp_usd_mwh
2015-06-09 12:00:00+00:00,18.560000000000002
2015-06-09 13:00:00+00:00,20.8575
2015-06-09 14:00:00+00:00,22.2875
2015-06-09 15:00:00+00:00,24.3375
2015-06-09 16:00:00+00:00,25.724999999999998
2015-06-09 17:00:00+00:00,27.1125
2015-06-09 18:00:00+00:00,31.205
2015-06-09 19:00:00+00:00,34.775
2015-06-09 20:00:00+00:00,32.5725
2015-06-09 21:00:00+00:00,30.9175
2015-06-09 22:00:00+00:00,30.88
2015-06-09 23:00:00+00:00,29.34
2015-06-10 00:00:00+00:00,28.2225
2015-06-10 01:00:00+00:00,26.7025
2015-06-10 02:00:00+00:00,24.6475
2015-06-10 03:00:00+00:00,23.17
2015-06-10 04:00:00+00:00,21.2875
2015-06-10 05:00:00+00:00,21.8375
2015-06-10 06:00:00+00:00,19.0425
2015-06-10 07:00:00+00:00,18.005
2015-06-10 08:00:00+00:00,17.675
2015-06-10 09:00:00+00:00,17.595
2015-06-10 10:00:00+00:00,18.155
2015-06-10 11:00:00+00:00,17.965
2015-06-10 12:00:00+00:00,18.515
2015-06-10 13:00:00+00:00,20.1875
2015-06-10 14:00:00+00:00,22.4125
2015-06-10 15:00:00+00:00,26.005
2015-06-10 16:00:00+00:00,26.635
2015-06-10 17:00:00+00:00,28.075
2015-06-10 18:00:00+00:00,31.5125
2015-06-10 19:00:00+00:00,35.525
2015-06-10 20:00:00+00:00,36.1075
2015-06-10 21:00:00+00:00,35.7475
2015-06-10 22:00:00+00:00,33.9625
2015-06-10 23:00:00+00:00,31.322499999999998
2015-06-11 00:00:00+00:00,26.6675
2015-06-11 01:00:00+00:00,24.655
2015-06-11 02:00:00+00:00,23.545
2015-06-11 03:00:00+00:00,22.5075
2015-06-11 04:00:00+00:00,21.3325
2015-06-11 05:00:00+00:00,21.82
2015-06-11 06:00:00+00:00,19.64
2015-06-11 07:00:00+00:00,19.0125
2015-06-11 08:00:00+00:00,18.4875
2015-06-11 09:00:00+00:00,18.322499999999998
2015-06-11 10:00:00+00:00,19.3025
2015-06-11 11:00:00+00:00,18.635
2015-06-11 12:00:00+00:00,20.0975
2015-06-11 13:00:00+00:00,21.8975
2015-06-11 14:00:00+00:00,21.27
2015-06-11 15:00:00+00:00,22.4925
2015-06-11 16:00:00+00:00,23.8325
2015-06-11 17:00:00+00:00,26.7975
2015-06-11 18:00:00+00:00,28.95
2015-06-11 19:00:00+00:00,32.795
2015-06-11 20:00:00+00:00,33.0025
2015-06-11 21:00:00+00:00,34.125
2015-06-11 22:00:00+00:00,28.6625
2015-06-11 23:00:00+00:00,26.02
2015-06-12 00:00:00+00:00,23.905
2015-06-12 01:00:00+00:00,24.465
2015-06-12 02:00:00+00:00,23.31
2015-06-12 03:00:00+00:00,22.3125
2015-06-12 04:00:00+00:00,21.395
2015-06-12 05:00:00+00:00,19.65
2015-06-12 06:00:00+00:00,18.78
2015-06-12 07:00:00+00:00,18.1275
2015-06-12 08:00:00+00:00,17.7375
2015-06-12 09:00:00+00:00,17.86
2015-06-12 10:00:00+00:00,18.725
2015-06-12 11:00:00+00:00,17.872500000000002
2015-06-12 12:00:00+00:00,18.58
2015-06-12 13:00:00+00:00,22.615000000000002
2015-06-12 14:00:00+00:00,27.63
2015-06-12 15:00:00+00:00,105.6675
2015-06-12 16:00:00+00:00,27.2275
2015-06-12 17:00:00+00:00,27.78
2015-06-12 18:00:00+00:00,27.6675
2015-06-12 19:00:00+00:00,27.564999999999998
2015-06-12 20:00:00+00:00,27.7875
2015-06-12 21:00:00+00:00,28.29
2015-06-12 22:00:00+00:00,26.2375
2015-06-12 23:00:00+00:00,24.595
2015-06-13 00:00:00+00:00,26.1
