Iteration,x1,x2,x3
102,99829.18984483086,99658.37968966163,99863.3518758647
103,99828.2045155527,99656.4090311053,99862.56361244217
104,99827.22393487701,99654.44786975392,99861.77914790162
105,99826.24803480406,99652.49606960802,99860.99842784325
106,99825.2767489417,99650.5534978833,99860.22139915336
107,99824.31001245265,99648.6200249052,99859.44800996213
108,99823.347762004,99646.69552400791,99858.67820960321
109,99822.38993571879,99644.77987143747,99857.91194857503
110,99821.43647312955,99642.87294625897,99857.14917850363
111,99820.4873151338,99640.97463026746,99856.38985210704
112,99819.54240395127,99639.08480790241,99855.63392316102
113,99818.60168308289,99637.20336616565,99854.88134646631
114,99817.66509727131,99635.33019454248,99854.13207781705
115,99816.73259246307,99633.465184926,99853.38607397045
116,99815.80411577219,99631.60823154423,99852.64329261775
117,99814.87961544514,99629.75923089015,99851.90369235612
118,99813.95904082725,99627.91808165435,99851.1672326618
119,99813.04234233023,99626.0846846603,99850.43387386418
120,99812.12947140106,99624.25894280194,99849.70357712085
121,99811.22038049197,99622.44076098377,99848.97630439357
122,99810.31502303155,99620.63004606291,99848.25201842522
123,99809.41335339689,99618.82670679358,99847.5306827175
