Qsell,E,CVaR,rho
3.66,411965.26173489774,-4.839946358597745e6,-4.787427242394418e6
3.67,416632.8509446576,-4.828819306121742e6,-4.776364784551078e6
3.68,421300.4401544186,-4.817692253645745e6,-4.765302326707743e6
3.69,425968.0293641784,-4.806565201169746e6,-4.754239868864407e6
3.7,430635.6185739381,-4.795438148693746e6,-4.74317741102107e6
3.71,435303.2077836976,-4.78431109621775e6,-4.732114953177735e6
3.72,439970.7969934583,-4.773184043741748e6,-4.721052495334395e6
3.73,444638.3862032184,-4.762056991265747e6,-4.709990037491057e6
3.74,449305.97541297803,-4.750929938789749e6,-4.698927579647722e6
3.75,453973.5646227381,-4.739802886313749e6,-4.687865121804384e6
3.76,458641.153832498,-4.728675833837747e6,-4.676802663961044e6
3.77,463308.74304225773,-4.717548781361745e6,-4.665740206117705e6
3.78,467976.332252018,-4.706421728885749e6,-4.654677748274372e6
3.79,472643.9214617785,-4.695294676409746e6,-4.64361529043103e6
3.8,477311.51067153795,-4.684167623933746e6,-4.632552832587692e6
3.81,481979.0998812978,-4.673040571457747e6,-4.621490374744358e6
3.82,486646.6890910575,-4.661913518981745e6,-4.610427916901017e6
3.83,491314.2783008186,-4.650786466505746e6,-4.59936545905768e6
3.84,495981.86751057854,-4.639659414029745e6,-4.588303001214342e6
3.85,500649.4567203382,-4.628532361553746e6,-4.577240543371005e6
3.86,505317.04593009804,-4.617405309077747e6,-4.566178085527669e6
3.87,509984.63513985835,-4.606278256601747e6,-4.5551156276843315e6
3.88,514652.22434961784,-4.595151204125747e6,-4.544053169840993e6
3.89,519319.81355937815,-4.584024151649745e6,-4.532990711997653e6
3.9,523987.402769138,-4.572897099173745e6,-4.521928254154316e6
3.91,528654.9919788977,-4.561770046697746e6,-4.51086579631098e6
3.92,533322.5811886578,-4.550642994221749e6,-4.4998033384676445e6
3.93,537990.1703984187,-4.539515941745748e6,-4.488740880624305e6
3.94,542657.7596081785,-4.528388889269747e6,-4.477678422780968e6
3.95,547325.3488179381,-4.517261836793748e6,-4.466615964937631e6
3.96,551992.9380276978,-4.506136853682026e6,-4.455555555764928e6
3.97,556660.5272374584,-4.495012083054029e6,-4.444495356951114e6
3.98,561328.1164472183,-4.48388731242603e6,-4.433435158137297e6
3.99,565995.7056569782,-4.472762541798022e6,-4.422374959323471e6
4.0,570663.294866738,-4.46163777117003e6,-4.411314760509662e6
4.01,575330.884076498,-4.4505171678552e6,-4.400258687335883e6
4.02,579998.4732862578,-4.439406307970403e6,-4.389212260157836e6
4.03,584666.0624960181,-4.4282954480856e6,-4.378165832979783e6
4.04,589333.6517057784,-4.417184588200803e6,-4.367119405801738e6
4.05,594001.240915538,-4.406073728316002e6,-4.356072978623686e6
4.06,598668.8301252982,-4.394964589172438e6,-4.3450282549794605e6
4.07,603336.4193350584,-4.3838555910732355e6,-4.333983670969152e6
4.08,608004.0085448185,-4.372746592974038e6,-4.32293908695885e6
4.09,612671.5977545785,-4.361637594874836e6,-4.311894502948541e6
4.1,617339.1869643384,-4.350528596775632e6,-4.300849918938233e6
4.11,622006.7761740987,-4.339419598676435e6,-4.28980533492793e6
4.12,626674.3653838583,-4.328310600577235e6,-4.278760750917625e6
4.13,631341.9545936177,-4.317201602478036e6,-4.267716166907319e6
4.14,636009.5438033774,-4.306092604378838e6,-4.256671582897017e6
4.15,640677.133013138,-4.294983606279635e6,-4.245626998886707e6
4.16,645344.7222228978,-4.283874608180435e6,-4.234582414876401e6
4.17,650012.3114326576,-4.272765610081235e6,-4.223537830866096e6
4.18,654679.9006424178,-4.2616566119820345e6,-4.21249324685579e6
4.19,659347.4898521778,-4.250547613882833e6,-4.201448662845483e6
4.2,664015.0790619382,-4.239438615783635e6,-4.1904040788351786e6
4.21,668682.6682716977,-4.228329617684438e6,-4.1793594948248765e6
4.22,673350.257481458,-4.217220619585234e6,-4.168314910814567e6
4.23,678017.8466912183,-4.206111621486035e6,-4.1572703268042626e6
4.24,682685.435900978,-4.195002623386836e6,-4.1462257427939577e6
4.25,687353.0251107379,-4.1838936252876353e6,-4.135181158783652e6
4.26,692020.6143204978,-4.1727846271884344e6,-4.124136574773345e6
4.27,696688.2035302578,-4.161675629089237e6,-4.113091990763042e6
4.28,701355.792740018,-4.150566630990035e6,-4.102047406752734e6
4.29,706023.3819497784,-4.139457632890835e6,-4.0910028227424286e6
4.3,710690.971159538,-4.128348634791637e6,-4.079958238732125e6
4.31,715358.5603692983,-4.117239636692436e6,-4.0689136547218184e6
4.32,720026.1495790583,-4.1061306385932313e6,-4.0578690707115084e6
4.33,724693.7387888186,-4.0950216404940346e6,-4.046824486701206e6
4.34,729361.3279985783,-4.083912642394835e6,-4.035779902690901e6
4.35,734028.9172083385,-4.0728036442956356e6,-4.0247353186805956e6
4.36,738696.5064180987,-4.0616946461964333e6,-4.013690734670288e6
4.37,743364.0956278583,-4.0505856480972357e6,-4.002646150659985e6
4.38,748031.6848376179,-4.0394766499980357e6,-3.991601566649679e6
4.39,752699.2740473775,-4.028367651898835e6,-3.980556982639373e6
4.4,757366.8632571381,-4.0172592292199214e6,-3.9695129682951504e6
4.41,762034.4524668979,-4.0061510722007216e6,-3.9584692169540455e6
4.42,766702.0416766576,-3.995042915181521e6,-3.947425465612939e6
4.43,771369.6308864177,-3.9839347581623215e6,-3.936381714271834e6
4.44,776037.2200961779,-3.97282660114312e6,-3.925337962930727e6
4.45,780704.809305938,-3.9617184441239205e6,-3.914294211589622e6
4.46,785372.3985156977,-3.950610287104721e6,-3.903250460248517e6
4.47,790039.9877254579,-3.9395021300855195e6,-3.89220670890741e6
4.48,794707.5769352183,-3.928393973066323e6,-3.8811629575663074e6
4.49,799375.1661449779,-3.9172858160471204e6,-3.8701192062251996e6
4.5,804042.7553547381,-3.9061776590279215e6,-3.8590754548840947e6
4.51,808710.3445644979,-3.8950695020087194e6,-3.8480317035429874e6
4.52,813377.9337742581,-3.8839613449895214e6,-3.836987952201884e6
4.53,818045.5229840177,-3.8728531879703184e6,-3.825944200860775e6
4.54,822713.1121937785,-3.86174503095112e6,-3.814900449519671e6
4.55,827380.7014035378,-3.8506368739319206e6,-3.803856698178566e6
4.56,832048.2906132982,-3.8395287169127204e6,-3.79281294683746e6
4.57,836715.8798230586,-3.8284205598935205e6,-3.7817691954963547e6
